Country Name,Country Code,Year,GDP per capita,Unemployment,Literacy,Health expenditure
Uzbekistan,UZB,2014,2628.4600544321,5.09,0.99992,117.57342529
Azerbaijan,AZE,2015,5500.50462041954,4.96,1.00012,220.98165894
Bangladesh,BGD,2015,1236.00439770048,4.371,0.76217,33.53680038
Bolivia,BOL,2015,2975.64881143063,3.11,0.86884,194.92401123
Brazil,BRA,2015,8783.21441310718,8.56,0.85212,782.52294922
Cabo Verde,CPV,2015,3169.0789154116,11.81,0.89916,139.48536682
Cambodia,KHM,2015,1170.74281578324,0.39,0.84326,72.51950836
Chile,CHL,2015,13569.9481274733,6.49,0.9448,1133.27978516
Colombia,COL,2015,6228.65162186096,8.3,0.90183,468.58853149
Dominican Republic,DOM,2015,6838.9367346602,7.61,0.91042,322.94607544
Ecuador,ECU,2015,6130.58667556768,3.62,0.92129,459.27081299
El Salvador,SLV,2015,3761.51368000275,4.0,0.86656,329.44250488
"Gambia, The",GMB,2015,611.671217782995,6.814,0.57355,19.42744446
Honduras,HND,2015,2257.22528369354,6.15,0.87081,168.92593384
Indonesia,IDN,2015,3322.58167907656,4.51,0.95363,97.16175842
Kuwait,KWT,2015,29315.1960719019,2.2,0.98415,1235.61889648
Lao PDR,LAO,2015,2125.45905698314,2.521,0.85205,52.15144348
Mali,MLI,2015,723.504204968944,1.361,0.42885,29.7465477
Mexico,MEX,2015,9753.40056232226,4.31,0.90065,558.1651001
Mozambique,MOZ,2015,594.226917756451,3.43,0.56958,39.91206741
Oman,OMN,2015,18777.4330589162,3.384,0.90735,765.78533936
Paraguay,PRY,2015,5861.38972416093,4.56,0.94462,392.22418213
Peru,PER,2015,6180.11879937394,3.27,0.88271,310.26644897
Philippines,PHL,2015,2974.29692047629,3.07,0.98007,115.94628143
South Africa,ZAF,2015,6204.92990145846,22.87,0.91136,499.36334229
Spain,ESP,2015,25754.36102944,22.06,0.99137,2349.11987305
Tanzania,TZA,2015,929.107238769531,2.144,0.77005,32.90985107
Thailand,THA,2015,5708.79414662172,0.6,0.95749,219.91911316
Togo,TGO,2015,760.242911612052,2.2,0.61682,37.41205215
Uruguay,URY,2015,16950.7533762432,7.49,0.98908,1410.3215332
Uzbekistan,UZB,2015,2753.97105783086,5.15,0.99992,131.74842834
Azerbaijan,AZE,2016,3880.68626683773,5.0,1.00012,153.21563721
Bangladesh,BGD,2016,1659.96248898672,4.35,0.81387,39.55920792
Brazil,BRA,2016,8680.73542054827,11.74,0.86361,795.93798828
Chad,TCD,2016,691.98007735414,1.118,0.32797,35.31919098
Colombia,COL,2016,5936.26102166829,8.69,0.91076,447.23580933
"Congo, Dem. Rep.",COD,2016,456.027950503848,4.479,0.73827,19.91032028
Dominican Republic,DOM,2016,7191.06971254766,7.28,0.92682,329.10879517
Ecuador,ECU,2016,6079.08873612077,4.6,0.92407,442.55380249
El Salvador,SLV,2016,3870.31298246063,4.42,0.87064,337.27490234
Honduras,HND,2016,2295.53623075587,6.73,0.88452,176.97315979
Indonesia,IDN,2016,3558.81885174287,4.3,0.9539,107.52870941
"Iran, Islamic Rep.",IRN,2016,5497.24323256491,12.62,0.82567,437.67251587
Malaysia,MYS,2016,9555.64733478683,3.44,0.94677,353.64028931
Maldives,MDV,2016,9640.31919054401,5.77,0.97279,993.4720459
Mexico,MEX,2016,8875.08206876137,3.86,0.91371,492.87402344
Paraguay,PRY,2016,5759.01833315657,5.25,0.93625,384.44702148
Peru,PER,2016,6163.86117862599,3.74,0.88858,311.43518066
Serbia,SRB,2016,5765.20335248009,15.26,0.98809,486.42944336
Spain,ESP,2016,26537.1594894549,19.64,0.99243,2376.62280273
Sri Lanka,LKA,2016,4107.82976157993,4.24,0.97105,148.61651611
Uruguay,URY,2016,16837.9403803049,7.84,0.98535,1454.54711914
Uzbekistan,UZB,2016,2704.67718855008,5.16,0.9999,129.1242218
Armenia,ARM,2017,4041.99507231389,12.944,0.99678,418.86001587
Azerbaijan,AZE,2017,4147.19861886412,4.96,1.00014,151.614151
Bangladesh,BGD,2017,1815.61019133661,4.37,0.81577,42.27734375
Bhutan,BTN,2017,3240.70632594822,3.056,0.69797,103.39090729
Brazil,BRA,2017,9896.7175109967,12.93,0.86856,937.34289551
Burundi,BDI,2017,244.145422138192,1.166,0.74898,20.7039566
Chile,CHL,2017,15045.5278507601,6.95,0.94404,1367.71643066
Ecuador,ECU,2017,6246.40425217932,3.84,0.89261,464.01971436
"Egypt, Arab Rep.",EGY,2017,2439.96728439968,11.767,0.79681,107.98847961
El Salvador,SLV,2017,3986.04901435439,4.39,0.88196,335.73712158
Fiji,FJI,2017,5825.19881260364,4.261,0.99667,185.6439209
